題號,題目,答案,圖片連結
11,"Q 11看圖拼字   u_____________r A .  under  
											_____
										 ID:1304","under","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_069.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=1bd437d78e7954e2cc28468f9bba9e9c92454d9e6568933f8825f3b612734023"
12,"Q 12看圖拼字   s_____________h A .  sandwich  
											________
										 ID:3135","sandwich","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_162.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=162555deab324261ed79525caf465941a19e287eeef0951949262931c8b1283a"
13,"Q 13看圖拼字   w_____________y A .  windy  
											_____
										 ID:2646","windy","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_143.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=dceac90cc0c7f46d182860ebf3025c0af169810a7f39f1b4912cf254b9b503ec"
14,"Q 14看圖拼字   T_____________n A .  Taiwan  
											______
										 ID:2641","Taiwan","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_138.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=35ead3e5915ff279560f7f8101d9cb8283baf0f40f7913e3cf44f7439b6591e9"
15,"Q 15看圖拼字   w_____________h A .  watch  
											_____
										 ID:3733","watch","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_010.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=aa67b70b4661e319df4edfb33aeedf16a26ed0aa4ea1ea23cc1deaaa99bf02b9"
16,"Q 16看圖拼字   d_____________r A .  door  
											____
										 ID:3753","door","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_030.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=17444ee01ca75a357bc54e765f19a993f5a02dfc4ef216cc9bd819ab4f7b51e6"
17,"Q 17看圖拼字   f_____________r A .  flower  
											______
										 ID:2642","flower","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_139.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=f208038fd9c3196faf7bb6ba15530d87e3004816991956b924a08e76cc52b1ff"
18,"Q 18看圖拼字   b_____________r A .  bear  
											____
										 ID:3148","bear","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_175.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=028584f25597e5515338841ab599131ceb54860f409563d0139eeb17d5833737"
19,"Q 19看圖拼字   c_____________n A .  crayon  
											______
										 ID:3726","crayon","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_003.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=e75e4b12132c615d86a479106cc67011a054aecf7829cb4f2d7ee21bc56a8a48"
20,"Q 20看圖拼字   p_____________a A .  papaya  
											______
										 ID:930","papaya","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_056.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=a3782962eccf599e1c39b0d6da21fc597aa1768a7c678273dd96e384eefb0b00"
21,"Q 21看圖拼字   d_____________k A .  desk  
											____
										 ID:2010","desk","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_107.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=c3ce4905b7f5e77d0a93909a80dda315f16c6b79085d27d1916c3f3772b99ec5"
22,"Q 22看圖拼字   j_____________e A .  juice  
											_____
										 ID:1321","juice","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_086.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=9ff355fc1bf031b5643a0242065ea4469093fd9ac0c4008138c3bcdd4d31f684"
23,"Q 23看圖拼字   s_____________r A .  sugar  
											_____
										 ID:929","sugar","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_055.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=afb579e44a3f77f8e5d441c575e1542fc28278fe2806fcc37177ff2eeac72773"
24,"Q 24看圖拼字   m_____________y A .  monkey  
											______
										 ID:1999","monkey","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_096.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=c994ce325d38f07371c4c2449bb7a356d9b724ab322a8019ad5ac2f9b734d1df"
25,"Q 25看圖拼字   f_____________t A .  feet  
											____
										 ID:188","feet","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_017.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=b2764e038ec09409d45fc0e7b80256bee04cd13828724c920b9bca1e22cf6c58"
26,"Q 26看圖拼字   c_____________p A .  cap  
											___
										 ID:2633","cap","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_130.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=498f6c37d5a86abe900fcfb96db0f8dedeabbeea428cf6e975c4799ee79bc5f9"
27,"Q 27看圖拼字   m_____________n A .  magician  
											________
										 ID:1315","magician","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_080.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=1148e21df4872337ab2e9ee8a977dd1320fc6d219a941641c6d38128b56c100c"
28,"Q 28看圖拼字   s_____________k A .  sick  
											____
										 ID:1317","sick","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_082.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=76434261f103bd7f8847435fb2378dbb3f66b0c8886ce4875818a3e71edfcf2e"
29,"Q 29看圖拼字   tape r_____________r A .  recorder  
											________
										 ID:928","recorder","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_054.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=30c57bf34471a8db63744f3cec42ddc5aa2c1d5f789222e5b518e1478fe957ca"
30,"Q 30看圖拼字   j_____________t A .  jacket  
											______
										 ID:3152","jacket","https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_179.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUHZXP3JBXL2C4CT5%2F20251007%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251007T143539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Signature=a0fb3d278f001830f72f27a36dc901931d5cf3a05b4645707454e6d8b8239af4"
31,"Q 31文意字彙 I want two h_____ers and three hot dogs.  h_____________ers A .  hamburgers  
											__________
										 ID:3183","hamburgers",""
32,"Q 32文意字彙 Amy is riding a s_____d at the park.  s_____________d A .  skateboard  
											__________
										 ID:2679","skateboard",""
33,"Q 33文意字彙 I'm hungry. I want a h_____r.  h_____________r A .  hamburger  
											_________
										 ID:3790","hamburger",""
34,"Q 34文意字彙 There are two pencils and one e_____r in my bag.  e_____________r A .  eraser  
											______
										 ID:947","eraser",""
35,"Q 35文意字彙 Meggie has a fruit s_____d and an ice cream for dinner (晚餐).  s_____________d A .  salad  
											_____
										 ID:3791","salad",""
36,"Q 36文意字彙 Peter is riding a s_____r to school.  s_____________r A .  scooter  
											_______
										 ID:2684","scooter",""
37,"Q 37文意字彙 S_____ks are sea (海洋) animals.  S_____________ks A .  Sharks  
											______
										 ID:1349","Sharks",""
38,"Q 38文意字彙 My brother is 7 years old.  He is a cute b_____y.  b_____________y A .  boy  
											___
										 ID:2025","boy",""
39,"Q 39文意字彙 Billy is my c_____n. His father and my father are brothers.  c_____________n A .  cousin  
											______
										 ID:3155","cousin",""
40,"Q 40文意字彙 Kenny has five pets: a dog, two cats, and two r_____its.  r_____________its A .  rabbits  
											_______
										 ID:1347","rabbits",""
41,"Q 41文意字彙 The pig is fat. It's not t_____n.  t_____________n A .  thin  
											____
										 ID:23","thin",""
42,"Q 42文意字彙 I'm b_____ed. Can you play games with me?  b_____________ed A .  bored  
											_____
										 ID:231","bored",""
43,"Q 43文意字彙 Andy is tired. He is sl_____y.  sl_____________y A .  sleepy  
											______
										 ID:3192","sleepy",""
44,"Q 44文意字彙 Good morning! Let's go to s_____l.  s_____________l A .  school  
											______
										 ID:2050","school",""
45,"Q 45文意字彙 Those boxes are full. They're h_____y.  h_____________y A .  heavy  
											_____
										 ID:2036","heavy",""
46,"Q 46文意字彙 Mom is t_____ed. She is sleepy.  t_____________ed A .  tired  
											_____
										 ID:3792","tired",""
47,"Q 47文意字彙 Put some cookies in the p_____e, not in the bowl.  p_____________e A .  plate  
											_____
										 ID:2687","plate",""
48,"Q 48文意字彙 The boy is weak. He's not s_____g.  s_____________g A .  strong  
											______
										 ID:203","strong",""
49,"Q 49文意字彙 There are many b_____lies and bees at the park.  b_____________lies A .  butterflies  
											___________
										 ID:2683","butterflies",""
50,"Q 50文意字彙 We can see many famous (有名的) pictures in this m_____m.  m_____________m A .  museum  
											______
										 ID:3182","museum",""
51,"My father usually l___s to the radio in the morning.","listens",""
52,"My mother tells me to wash the d___s in the kitchen after dinner.","dishes",""
53,"It's not polite to t__k on the phone during a concert.","talk",""
54,"When Tim o__s the door, the cat runs out quickly.","opens",""
55,"My grandfather likes to go mountain c___g. He likes Mt. Ali very much.","climbing",""
56,"John loves to play c___s. He is the best c___s player in our class.","chess",""
57,"I like to w___h TV in my free time, but my mother hates it. She says it's bad for my eyes.","watch",""
58,"The teacher y___s at the students because no one is listening to him.","yells",""
59,"Jane is g___d at sports. She runs fast and plays basketball well.","good",""
60,"Tiffany's mother tells her to c___n her room because her room is too messy.","clean",""
61,"If you want to visit a f___s lake, Sun Moon Lake is a good place to go.","famous",""
62,"The businessman will not a__d the meeting tomorrow because he had a car accident yesterday.","attend",""
63,"I p__d a tea pot in the art class today. I think my grandmother will love it because she loves drinking tea.","painted",""
64,"The actor didn't a__t in a play because he was sick.","act",""
65,"When Eve saw her boyfriend s___e with another girl, she got angry and broke up with him.","skate",""
66,"When Jim saw his daughter c___t with a man, he hid behind them and listened to what they were talking about.","chat",""
67,"The police officer k___s on the door, but no one answers.","knocks",""
68,"There is an empty box on the ground. There is nothing i___e.","inside",""
69,"She didn't take out the trash last night, but she took it out the day b___e yesterday, which was two days ago.","before",""
70,"S______y, my brother hits me in the back and scared me.","Suddenly",""
71,"The clown p__d out of the box and surprised the audience.","popped",""
72,"Timmy feels dizzy because the ball hit his h___d.","head",""
73,"Yvonne likes to study h____y because she is interested in what happened in the past.","history",""
74,"Joanne has to t__y her room, or she will be grounded.","tidy",""
75,"It suddenly starts to rain outside, so I have to dry the c____s or there will be nothing to wear.","clothes",""
76,"The class starts at 8:00, and it's now 7:50. You better h__y to school or you will be late.","hurry",""
77,"Linda forgets to c___y her l___xx this morning and is really hungry now.","lunchbox",""
78,"We always try the moon c__s every Moon Festival because there are more and more new flavors.","cakes",""
79,"As the saying goes, 'When l__e gives you lemon, make lemonade.'","life",""
80,"Please t__y on the clothes before you buy them, or it might be too large or too small.","try",""
81,"You have to be q___k, or the cockroach will disappear at any time.","quick",""
82,"Michael w___s for the bus for thirty minutes at the bus stop every day to get to work.","waits",""
83,"Students are not allowed to use c___s during class. If the teacher sees it, he or she will take it and keep it for you until break time.","cellphones",""
84,"You will get points after you raise your hands and a___r the questions.","answer",""
85,"Don't forget to thank the d____r before you get off the bus or the taxi.","driver",""
86,"The clerk is t___g his report now so that he can get off work on time.","typing",""
87,"Philip forgot to l__k the door before he left, so the thief simply got into the house and stole everything.","lock",""
88,"Annie is a teacher, and Nina is, t___.","too",""
89,"Billy is not a farmer, and Charles isn't, e___r.","either",""
90,"There are six t__s in the dragon boat race, but only one of them can win the championship.","teams",""
91,"Jason is t___g a trip to Japan tomorrow, so he won't come to work next week.","taking",""
92,"A burglar broke i__o my house yesterday. Luckily, no one was hurt, and she got caught in two hours.","into",""
93,"In the art class, the teacher asks the students to draw a p____e of a tiger.","picture",""
94,"There is a sign by the pond that says, 'Do not f__d the fish. They are too fat now.'","feed",""
95,"When I go to the office to see the teacher, she isn't there. So I w___e a n___e and left it on her table.","note",""
96,"In the music class, the teacher asks everyone to sing a s__g in front of the class.","song",""
97,"My little brother likes to fly a k___e at the park when it is windy.","kite",""
98,"I want to take a trip to N____y because I heard that's where the Vikings come from.","Norway",""
99,"Iceland is a popular tourist spot because it's famous for the N______n Lights there.","Northern",""
100,"My favorite part of going camping is sitting by the c___e and chat with my friends at night.","campfire",""
101,"Daniel took a t___n to travel around Taiwan last year.","train",""
102,"Jessie took a s___p to Green Island last month.","ship",""
103,"Kyle needs to get to the airport now, so he takes a t__i there.","taxi",""
104,"If you want to go to Penghu, you can take a p__e there.","plane",""
105,"Ray takes a b__s to school every day.","bus",""
106,"Patrick rides a b__e to cram school on Wednesdays.","bike",""
107,"In New York, you can go almost anywhere by s___y.","subway",""
108,"In Taiwan, most people goes everywhere by riding a s____r because they have a car.","scooter",""
109,"Last weekend, my father d___e a car and took us to Taichung to go shopping.","drove",""
110,"Sandy lives next to the school, so she can w__k to school every day.","walk",""
111,"Justin just came back from The USA, so I picked him up at the a____t.","airport",""
112,"There are sixty minutes in an h__r.","hour",""
113,"Please don't s___e the cola can, or you will have to clean up the mess by yourself.","shake",""
114,"There is s___g inside the box, but I don't know what that is.","something",""
115,"The child f__s down and hits his arm. Now, he is crying.","falls",""
116,"M______s aren't real. They only exist in fairy tales.","Mermaids",""
117,"The famous writer, Andersen, is from D_____k.","Denmark",""
118,"Jarvis saw the s___r near the house last night, and he was scared.","stranger",""
119,"When Diana meets the s___r, she asks him to sign on her bag.","singer",""
120,"The house was b___t seventy years ago. No one lives there now.","built",""
121,"The farmer goes to the market and tries to s__l the cow, but no one wants to buy it.","sell",""
122,"Percy loves turtles, so he asked his mother to b__y one for him.","buy",""
123,"In the art class, the teacher asked the students to d__w their favorite animals.","draw",""
124,"After sixty m____s of work, the shopkeeper takes a rest and closes the shop.","minutes",""
125,"Christine is a fast runner. She can run one hundred meters in twelve s____s.","seconds",""
126,"Two days a__o, a thief came to the store and stole a lot of money.","ago",""
127,"When Roxy sees his friends on the street, he w__s his hands and smiles at them.","waves",""
128,"There are some h___e snakes at the zoo. The kids are scared when they see the snakes.","huge",""
129,"Please s__t the door before you go. It is cold outside.","shut",""
130,"The teacher s__t the rules for the students to follow.","set",""
131,"Aaron h__t the ball so hard that it flew over the field and broke the window.","hit",""
132,"The chef takes out the knife and c__t the pie into ten pieces.","cut",""
133,"The students are asked to r___d the magazine every morning.","read",""
134,"The teacher asks the kids to p___t at the picture that has a circle in it.","point",""
135,"Max doesn't like his sister. They often f__t with each other over small things.","fight",""
136,"The elephants are g___t animals. They can be taller than a building.","giant",""
137,"Don't talk with your mouth full. S_____w the food before you start talking.","Swallow",""
138,"After ten hours of flight, the plane finally l__d at the airport.","landed",""
139,"In the e__d, the thief got caught by the police and returned everything he took.","end",""
140,"If you feel dizzy and your body temperature is high, you might have a f___r.","fever",""
141,"The businessman had a h___e. His head hurt badly.","headache",""
142,"Peter starts coughing and he can't talk well. He has a s__e throat.","throat",""
143,"Roger c___t a cold and didn't come to school yesterday.","caught",""
144,"Remember to see a d____r when you don't feel comfortable.","doctor",""
145,"The worker looks tired. I think he need some r__t.","rest",""
146,"After you see the doctor, make sure you take some m___e to get well sooner.","medicine",""
147,"There should be at least seven w___s in a sentence, or you get no points.","words",""
148,"Kids shouldn't go to dangerous p___s. They should be with their parents.","places",""
149,"Elizabeth and Mason have three k__s. They are all studying in the elementary school now.","kids",""
150,"There is a typhoon coming tomorrow, s__o people are preparing food now.","so",""
151,"In the p__t, when most people didn't have telephones, they wrote letters to contact each other.","past",""
152,"The V_____s were warriors from Norway in the past.","Vikings",""
